Course Name, Enrollment Term 
GS2001, 24
USCH3910, 24
UFDN2000, 24
UFDN3100, 24
LIN4899, 24
MFT6938, 24
FCS4743, 24
MAT0144, 24
THEO3331, 24
ART4212, 24
THEO6930, 24
TESL6300, 24
FCS4822, 24
EGR3300, 24
EDRD3517, 24
BUS6210, 24
EGR3430, 24
EDAD6586, 24
PSY3700, 24
UFDN3100, 24
UFDN3100, 24
BIO4435, 24
BUS6023, 24
EDCO6673, 24
MAT0145, 24
CHM1212, 24
MAT3237, 24
NUR3001, 24
MAT3238, 24
ECN2101, 24
BIO3899, 24
ART3201, 24
CHM1310, 24
POL4899, 24
MUS4501, 24
LIN2100, 24
EDU6132, 24
EDU7930, 24
MFT6934, 24
SPN1102, 24
UCOR3000, 24
BUS1700, 24
BUS2000, 24
MAT1300, 24
ART4207, 24
FCS4460, 24
EGR1010, 24
THEO2721, 24
THEO3500, 24
JRN2335, 24
BIO3432, 24
CHM1212L, 24
CHM1212L, 24
CHM1310L, 24
FCS3250, 24
FCS4330, 24
FCS4341, 24
FCS4352, 24
FCS4370, 24
ART4966, 24
TRE3720, 24
MUS2550, 24
MUS3401, 24
EDU7972, 24
BIO4418, 24
EDU7107, 24
EDU7991, 24
PHY2568, 24
BIO1101, 24
EDU6979, 24
NUR6970, 24
NUR6103, 24
EDTC6433, 24
BUS2000, 24
BIO1103, 24
BIO2101, 24
ART1102, 24
MUS2605, 24
ART2112, 24
ART2502, 24
ART2602, 24
NUR6898, 24
EGR1502, 24
EGR3501, 24
ENG2248, 24
PSY2402, 24
CHN1102, 24
CHN2102, 24
LIN2100, 24
MUS2000, 24
NUR4391, 24
ISM6331, 24
BIO4413, 24
PSY3438, 24
BUS3542, 24
ART3610, 24
FCS1840, 24
PSY3588, 24
ECN2102, 24
MUS3713, 24
BIO2101L, 24
ART1105, 24
ART1106, 24
NUR6510, 24
ART4507, 24
CSC3430, 24
ECN3201, 24
EDU2100, 24
ENG4445, 24
FCS3321, 24
HIS3501, 24
HIS3730, 24
MUS2110, 24
NUR4005, 24
PHY3011, 24
PHY4520, 24
PSY2470, 24
PSY3360, 24
PSY4103, 24
SOC2650, 24
THEO2620, 24
THEO3630, 24
EDU6600, 24
EDU6980, 24
PSY3442, 24
ISM6910, 24
NUR6951, 24
NUR4007, 24
NUR4017, 24
PSY1200, 24
NUR4015, 24
EDU2600, 24
HSC4700, 24
NUR4950, 24
EGR4610, 24
CHM3227, 24
BUS6140, 24
EDSP6642, 24
EDAD7300, 24
PSY4910, 24
SOC4910, 24
CHM1360, 24
BUS2910, 24
EDCO7910, 24
EDU7995, 24
MUS1250, 24
THEO4950, 24
EDCO6951, 24
EDMA6432, 24
HHP1100, 24
HHP1116, 24
HHP1140, 24
